"Engineer","Protip","CaseNumber","Escl","CSM","P","Age","Entitlement","F/R","Language","Timezone","Product","Category","Subject","Account","link"
,,"07505127","False",,"P4","80","Standard","False","English","India Time (Asia/Kolkata)","Tableau Server","Authentication","Blank Screen while accessing tableau server from Mac OS","S. C. Johnson and Son, Inc. 02","https://tableau.my.salesforce.com/5006Q00001hrmIOQAY"
,,"07506400","False",,"P4","72","Standard","False","English","Singapore Time (Asia/Singapore)","Tableau Server","Visualizations","Workbook loading performance","DBS Bank Ltd","https://tableau.my.salesforce.com/5006Q00001hroX6QAI"
,,"07506534","False",,"P4","70","Standard","False","English","New Zealand Time (Pacific/Auckland)","Tableau Server","System management","Changing the Active Directory Domain and version upgrade","Electrix Limited","https://tableau.my.salesforce.com/5006Q00001hroiOQAQ"
,,"07506542","False",,"P4","70","Standard","False","English (UK)","Singapore Time (Asia/Singapore)","Tableau Server","System management","Change Tableau Admin Login Password for Tableau Services Manager","COMFORT TRANSPORTATION PTE LTD","https://tableau.my.salesforce.com/5006Q00001hroj7QAA"
,,"07507498","False",,"P4","63","Standard","False","English","Singapore Time (Asia/Singapore)","Tableau Server","Install and upgrade","Unable to Upgrade Tableau Server 2020.2.9 to 2021.2.2","Central JD Fintech Company Limited","https://tableau.my.salesforce.com/5006Q00001hrqgkQAA"
,,"07509961","False",,"P4","49","Standard","False","English","Australian Eastern Time (Queensland) (Australia/Brisbane)","Tableau Server","Install and upgrade","unable to restore tableau database from backup","Wyndham Destinations Asia Pacific Pty Ltd","https://tableau.my.salesforce.com/5006Q00001hrumIQAQ"
,,"07510323","False",,"P4","44","Standard","False","Chinese Simplified","China Time (Asia/Shanghai)","Tableau Server","System management","need access PostgreSQL with Admin right","AIA Information Technology (Guangzhou) Co., Ltd.友邦资讯科技(广州)有限公司","https://tableau.my.salesforce.com/5006Q00001hrvIJQAY"
,,"07510654","False",,"P4","41","Standard","False","English (UK)","Hong Kong Time (Asia/Hong_Kong)","Tableau Server","Authentication","Warning on SHA1withRSA signature algorithm when import SAML SSO cert into Tableau Keystore","Hongkong Post","https://tableau.my.salesforce.com/5006Q00001hrvtjQAA"
,,"07513447","False",,"P4","25","Standard","False","Korean","Korea Time (Asia/Seoul)","Tableau Server","System management","tsm 으로 서버설정한 내용이 담겨있는 파일 위치","Penta Systems Technology Inc.","https://tableau.my.salesforce.com/5006Q00001hs0TCQAY"
,,"07513445","False",,"P4","25","Standard","False","English (UK)","Singapore Time (Asia/Singapore)","Tableau Server","Connect and work with data","Unable to login IBM DB2 and Error with KML files","Housing & Development Board (HDB)","https://tableau.my.salesforce.com/5006Q00001hs0SxQAI"
,,"07513691","False",,"P4","22","Standard","False","English","Indochina Time (Asia/Ho_Chi_Minh)","Tableau Server","Licensing","Refresh Key Tableau Server","BSD Solutions Co Ltd","https://tableau.my.salesforce.com/5006Q00001hs0qpQAA"
,,"07513678","False",,"P4","22","Standard","False","English","Hong Kong Time (Asia/Hong_Kong)","Tableau Mobile","Authentication","cannot connect to tableau server by tableau app in iPAD","Hongkong Land Company, Limited, The","https://tableau.my.salesforce.com/5006Q00001hs0pcQAA"
,,"07513856","False",,"P4","19","Standard","False","English","India Time (Asia/Kolkata)","Tableau Server","Visualizations","custom text object header after download it to excel not appear in excel sheet","Otto H Maccabee LLC","https://tableau.my.salesforce.com/5006Q00001hs143QAA"
,,"07514039","False",,"P4","18","Standard","False","English","Malaysia Time (Asia/Kuala_Lumpur)","Tableau Server","Connect and work with data","Tableau Extract Refresh Partial Fail with Databricks","Hannover Rueck SE Malaysian Branch","https://tableau.my.salesforce.com/5006Q00001hs1HCQAY"
,,"07514145","False",,"P4","17","Standard","False","English","India Time (Asia/Kolkata)","Tableau Desktop","Visualizations","Sorting in side-by-side bar chart","Nuance Communications, Inc.","https://tableau.my.salesforce.com/5006Q00001hs1cZQAQ"
,,"07514131","False",,"P4","17","Standard","False","English","Indochina Time (Asia/Bangkok)","Tableau Prep Builder","Connect and work with data","Tableau perp connection mode","G-Able Company Limited","https://tableau.my.salesforce.com/5006Q00001hs1AlQAI"
,,"07514182","False",,"P4","17","Standard","False","English","India Time (Asia/Kolkata)","Tableau Online","Admin Views","Admin Insight","Goldstone Technologies Limited","https://tableau.my.salesforce.com/5006Q00001hs1euQAA"
"Sharath Chandra Devata",,"07514784","False","VIP","P2","12","Standard","True","English","India Time (Asia/Kolkata)","Tableau Server","Install and upgrade","How to downgrade tableau server version","EDF Energy Ltd.","https://tableau.my.salesforce.com/5006Q00001hs2PRQAY"
